Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위
1995,LG,1538.06,1500,43.81,0.87,113.03,,,,,,,,,,,,,,,,,,
2022,KT,1538.16,1500,44.33,0.86,112.91,,,,,,,,,,,,,,,,,,
1997,LG,1539.62,1500,46.07,0.86,112.9,,,,,,,,,,,,,,,,,,
2013,두산,1534.55,1500.01,40.41,0.85,112.82,,,,,,,,,,,,,,,,,,
2013,LG,1533.69,1500.01,40.41,0.83,112.5,,,,,,,,,,,,,,,,,,
1986,KIA,1546.62,1500,56.38,0.83,112.4,,,,,,,,,,,,,,,,,,
2021,두산,1523.58,1500,28.56,0.83,112.39,,,,,,,,,,,,,,,,,,
2020,NC,1536.03,1500,43.86,0.82,112.32,,,,,,,,,,,,,,,,,,
2010,롯데,1537.29,1500.22,45.24,0.82,112.29,,,,,,,,,,,,,,,,,,
1997,삼성,1537.71,1500,46.07,0.82,112.28,,,,,,,,,,,,,,,,,,
2003,삼청태현,1541.61,1500.4,51.12,0.81,112.09,,,,,,,,,,,,,,,,,,
2022,SSG,1534.95,1500,44.33,0.79,111.83,,,,,,,,,,,,,,,,,,
2014,LG,1542.12,1498.65,56.16,0.77,111.61,,,,,,,,,,,,,,,,,,
1999,롯데,1544.06,1500,57.36,0.77,111.52,,,,,,,,,,,,,,,,,,
2004,KIA,1529.07,1500.16,37.65,0.77,111.52,,,,,,,,,,,,,,,,,,
2003,삼성,1539.07,1500.4,51.12,0.76,111.35,,,,,,,,,,,,,,,,,,
2005,삼성,1532.68,1500.06,43.28,0.75,111.31,,,,,,,,,,,,,,,,,,
2024,LG,1520.72,1500,28.21,0.73,111.02,,,,,,,,,,,,,,,,,,
1982,두산,1552.5,1500,71.98,0.73,110.94,,,,,,,,,,,,,,,,,,
2008,두산,1530.81,1501.35,41.64,0.71,110.61,,,,,,,,,,,,,,,,,,
2020,KT,1530.94,1500,43.86,0.71,110.58,,,,,,,,,,,,,,,,,,
2008,롯데,1530.5,1501.35,41.64,0.7,110.5,,,,,,,,,,,,,,,,,,
2019,SSG,1532.93,1499.99,47.61,0.69,110.38,,,,,,,,,,,,,,,,,,
2012,SSG,1524.1,1500.03,34.95,0.69,110.33,,,,,,,,,,,,,,,,,,
2021,KT,1519.48,1500,28.56,0.68,110.23,,,,,,,,,,,,,,,,,,
1992,롯데,1528.87,1500,42.9,0.67,110.1,,,,,,,,,,,,,,,,,,
1999,한화,1537.99,1500,57.36,0.66,109.94,,,,,,,,,,,,,,,,,,
2023,KIA,1523.46,1500,35.78,0.66,109.84,,,,,,,,,,,,,,,,,,
2020,키움,1528.42,1500,43.86,0.65,109.72,,,,,,,,,,,,,,,,,,
2020,LG,1528.27,1500,43.86,0.64,109.67,,,,,,,,,,,,,,,,,,
1994,KIA,1521.33,1500,33.22,0.64,109.63,,,,,,,,,,,,,,,,,,
2024,삼성,1518.07,1500,28.21,0.64,109.61,,,,,,,,,,,,,,,,,,
1986,LG,1536.01,1500,56.38,0.64,109.58,,,,,,,,,,,,,,,,,,
2007,한화,1520.22,1500.01,31.95,0.63,109.49,,,,,,,,,,,,,,,,,,
2021,삼성,1517.96,1500,28.56,0.63,109.43,,,,,,,,,,,,,,,,,,
2021,키움,1517.65,1500,28.56,0.62,109.27,,,,,,,,,,,,,,,,,,
2006,한화,1518.62,1500.03,30.2,0.62,109.24,,,,,,,,,,,,,,,,,,
1989,롯데,1523.44,1500,39.6,0.59,108.88,,,,,,,,,,,,,,,,,,
2013,넥센,1523.16,1500.01,40.41,0.57,108.59,,,,,,,,,,,,,,,,,,
1993,두산,1533.84,1500,59.85,0.57,108.48,,,,,,,,,,,,,,,,,,
2018,KIA,1518.97,1499.97,34.06,0.56,108.37,,,,,,,,,,,,,,,,,,
2002,KIA,1528.67,1500.99,50.51,0.55,108.22,,,,,,,,,,,,,,,,,,
2001,삼청태현,1511,1502.47,15.69,0.54,108.15,,,,,,,,,,,,,,,,,,
2018,키움,1518.44,1499.97,34.06,0.54,108.14,,,,,,,,,,,,,,,,,,
2015,두산,1521.66,1499.52,41.55,0.53,108,,,,,,,,,,,,,,,,,,
1983,삼성,1515.62,1500,29.46,0.53,107.96,,,,,,,,,,,,,,,,,,
1990,한화,1530.31,1500,57.17,0.53,107.95,,,,,,,,,,,,,,,,,,
2002,삼청태현,1527.43,1500.99,50.51,0.52,107.85,,,,,,,,,,,,,,,,,,
1998,LG,1517.77,1500,34.42,0.52,107.75,,,,,,,,,,,,,,,,,,
1984,롯데,1515.11,1500,29.34,0.51,107.72,,,,,,,,,,,,,,,,,,
2024,KT,1514.48,1500,28.21,0.51,107.7,,,,,,,,,,,,,,,,,,
1996,한화,1518.9,1500,36.99,0.51,107.66,,,,,,,,,,,,,,,,,,
2021,SSG,1514.49,1500,28.56,0.51,107.61,,,,,,,,,,,,,,,,,,
1998,두산,1516.97,1500,34.42,0.49,107.39,,,,,,,,,,,,,,,,,,
2024,두산,1513.57,1500,28.21,0.48,107.22,,,,,,,,,,,,,,,,,,
1987,LG,1515.08,1500,31.98,0.47,107.07,,,,,,,,,,,,,,,,,,
1987,KIA,1515.07,1500,31.98,0.47,107.07,,,,,,,,,,,,,,,,,,
2001,롯데,1509.86,1502.47,15.69,0.47,107.06,,,,,,,,,,,,,,,,,,
1992,KIA,1520.1,1500,42.9,0.47,107.03,,,,,,,,,,,,,,,,,,
2011,SSG,1519.4,1500.09,41.44,0.47,106.99,,,,,,,,,,,,,,,,,,
1982,LG,1533.21,1500,71.98,0.46,106.92,,,,,,,,,,,,,,,,,,
2000,두산,1528.48,1506.19,48.57,0.46,106.89,,,,,,,,,,,,,,,,,,
2014,SSG,1524.18,1498.65,56.16,0.45,106.82,,,,,,,,,,,,,,,,,,
1988,롯데,1520.35,1500,45.81,0.44,106.66,,,,,,,,,,,,,,,,,,
1992,삼성,1517.28,1500,42.9,0.4,106.04,,,,,,,,,,,,,,,,,,
2006,KIA,1512.04,1500.03,30.2,0.4,105.97,,,,,,,,,,,,,,,,,,
1995,KIA,1516.24,1500,43.81,0.37,105.56,,,,,,,,,,,,,,,,,,
2010,두산,1516.96,1500.22,45.24,0.37,105.55,,,,,,,,,,,,,,,,,,
2004,두산,1514.07,1500.16,37.65,0.37,105.54,,,,,,,,,,,,,,,,,,
2023,NC,1513.2,1500,35.78,0.37,105.53,,,,,,,,,,,,,,,,,,
1986,두산,1519.98,1500,56.38,0.35,105.32,,,,,,,,,,,,,,,,,,
1988,삼성,1515.79,1500,45.81,0.34,105.17,,,,,,,,,,,,,,,,,,
2018,SSG,1511.66,1499.97,34.06,0.34,105.15,,,,,,,,,,,,,,,,,,
2006,두산,1510.23,1500.03,30.2,0.34,105.07,,,,,,,,,,,,,,,,,,
1996,삼청태현,1511.95,1500,36.99,0.32,104.85,,,,,,,,,,,,,,,,,,
1999,삼청태현,1518.02,1500,57.36,0.31,104.71,,,,,,,,,,,,,,,,,,
2023,두산,1511.16,1500,35.78,0.31,104.68,,,,,,,,,,,,,,,,,,
1999,삼성,1517.65,1500,57.36,0.31,104.62,,,,,,,,,,,,,,,,,,
2019,KT,1514.34,1499.99,47.61,0.3,104.52,,,,,,,,,,,,,,,,,,
2025,삼성,1509.81,1500,34.01,0.29,104.33,,,,,,,,,,,,,,,,,,
1987,롯데,1509.14,1500,31.98,0.29,104.29,,,,,,,,,,,,,,,,,,
2013,롯데,1511.32,1500.01,40.41,0.28,104.2,,,,,,,,,,,,,,,,,,
1990,삼성,1515.79,1500,57.17,0.28,104.14,,,,,,,,,,,,,,,,,,
2022,NC,1511.96,1500,44.33,0.27,104.05,,,,,,,,,,,,,,,,,,
1988,한화,1512.13,1500,45.81,0.26,103.97,,,,,,,,,,,,,,,,,,
2016,LG,1510.96,1499.81,43.63,0.26,103.83,,,,,,,,,,,,,,,,,,
2000,롯데,1517.72,1506.19,48.57,0.24,103.56,,,,,,,,,,,,,,,,,,
1998,삼성,1508.08,1500,34.42,0.23,103.52,,,,,,,,,,,,,,,,,,
1991,롯데,1511.64,1500,50.33,0.23,103.47,,,,,,,,,,,,,,,,,,
2013,키움,1508.97,1500.01,40.41,0.22,103.33,,,,,,,,,,,,,,,,,,
1994,삼성,1507.27,1500,33.22,0.22,103.28,,,,,,,,,,,,,,,,,,
2009,두산,1511.37,1500.54,50,0.22,103.25,,,,,,,,,,,,,,,,,,
2019,LG,1510.21,1499.99,47.61,0.21,103.22,,,,,,,,,,,,,,,,,,
2019,NC,1509.37,1499.99,47.61,0.2,102.96,,,,,,,,,,,,,,,,,,
2001,LG,1505.55,1502.47,15.69,0.2,102.94,,,,,,,,,,,,,,,,,,
2017,NC,1508.71,1499.92,46.58,0.19,102.83,,,,,,,,,,,,,,,,,,
2024,롯데,1505.15,1500,28.21,0.18,102.74,,,,,,,,,,,,,,,,,,
2013,SK,1507.23,1500.01,40.41,0.18,102.68,,,,,,,,,,,,,,,,,,
1984,삼성,1505.2,1500,29.34,0.18,102.66,,,,,,,,,,,,,,,,,,
